title,user,talk_type,description,icon_url,twitter_id,detail_url,talk_date,talk_site,is_adopted,video_url,slide_url
コンポーネント指向 for iOS,はるふ,15m,"フロントエンド開発の中で、よくコンポーネント指向、アトミックデザインという言葉を聞きます。
昨年のiOSDCで話題になったMicroViewControllerは、コンポーネント志向と近い考えがあると考えています。
そこで、新しく発表されたSwift UIも含めて、iOS開発とコンポーネント指向との関連について考えます。",https://fortee.jp/files/iosdc-japan-2019/speaker/870ee312-1495-4f02-aaae-7e9e5fd817f9.png,_ha1f,https://fortee.jp/iosdc-japan-2019/proposal/c333e111-4df1-4cfa-a73c-bed7082b5cb3,,,False,,
大規模画面を支えるコードを分割する技術,はるふ,LT_R,"一つの画面にいろいろな機能が載ってしまうことは多々あります。
そんな時、ViewModelを作って分離するだけで満足してませんか？
機能自体が多いとそれだけでは不十分で、
他にもprotocol extensionやサービスの切り出しなどで、更にドメインごとに、コードを分割しています。
その具体例をお伝えします。",https://fortee.jp/files/iosdc-japan-2019/speaker/870ee312-1495-4f02-aaae-7e9e5fd817f9.png,_ha1f,https://fortee.jp/iosdc-japan-2019/proposal/7e5dc017-5e8a-48d7-9976-21a979159ca3,,,False,,
画面全部UIStackViewに載せた,はるふ,LT_R,"様々な画面で、画面内のオブジェクトをすべてUIStackViewに載せることで、統一的に、よりロバストに画面のレイアウトを開発できるようになりました。
最初は挙動が把握しづらく、扱いづらいイメージですが、比較的複雑なレイアウトでも実現できます。
具体的な例を出しつつ、どんな風にUIStackViewでレイアウトを組んでいるのかご紹介します！",https://fortee.jp/files/iosdc-japan-2019/speaker/870ee312-1495-4f02-aaae-7e9e5fd817f9.png,_ha1f,https://fortee.jp/iosdc-japan-2019/proposal/ccc11ff8-d68f-4ef2-ab0b-5359073a7681,,,False,,
スタートアップのエンジニアあるある,KBOY,LT,1年の正社員としてのシード期スタートアップのエンジニア生活、１年半のシリーズA~Bスタートアップでの正社員生活。そして今フリーランスとして携わる多くのスタートアップとのエンジニア生活、これらを通して僕が感じたスタートアップのエンジニアあるあるをお送りします。,https://fortee.jp/files/iosdc-japan-2019/speaker/67bc9ca7-139f-4429-9234-bf9ea772cfca.jpg,kboy_silvergym,https://fortee.jp/iosdc-japan-2019/proposal/28445457-6d68-450e-bd45-5256bee589cd,,,False,,
YouTuberから見たエンジニア界隈の闇,KBOY,LT,2019年1月からエンジニア系YouTuberを始めました。すると、今まで見えなかった初心者エンジニア界隈や、プログラミングスクール、その生徒たち、対立するエンジニア系インフルエンサーなどが見えてきました。本トークでは私から見るエンジニア界隈の闇をできるだけポップにお話します。,https://fortee.jp/files/iosdc-japan-2019/speaker/67bc9ca7-139f-4429-9234-bf9ea772cfca.jpg,kboy_silvergym,https://fortee.jp/iosdc-japan-2019/proposal/2eb649fe-52ff-468c-8bf8-64e0cfd71402,,,False,,
今こそwatchOS,堤 修一,15m,"Apple Watchが登場し、WatchKitフレームワークが発表された当時は各社こぞって対応アプリ（実態はApp Extension）をリリースしたものでした。しかしApple Watchのデバイスとしての性能はとても貧弱でできることは非常に限られており、また開発環境は著しく不安定だったこともあり、watchOS 2の頃には開発者の間でのwatchOSアプリ開発ブームは去っていきました。

しかしそれから数年経ち、Apple Watchの性能は大きく向上し、watchOS 6ではついにIndependent Appも作れるようになりました。多くの機能（フレームワーク）がApple Watch側で動作することになり、「こんなアプリがウォッチ上で動いたらいいな」というアイデアの実現可能性は昔とは比べるべくもないほどに上がっています。

本トークでは、Apple Watch / watchOSリリース当初はできなかったが今ではできるようになったことを中心に、「watchOSアプリ開発の今」についてお話しします。",https://fortee.jp/files/iosdc-japan-2019/speaker/784bd4a1-8530-484e-a6f0-72e8ee9677f7.jpg,shu223,https://fortee.jp/iosdc-japan-2019/proposal/aed43999-373f-40fc-9cf9-c15cc32bc670,,,False,,
ARKitを日本一長時間触っている男が語るARKit3.0とAR Glassの未来,KBOY,15m,僕がGraffity Inc.というARスタートアップで仕事した時間は尋常じゃないと自負しています。めちゃくちゃ働きました。その仕事のほとんどがARKitです。今トークでは、ARKit3.0の注目どころやAppleから出るであろうAR Glassの展望、そしてARKitに特化して勝負している僕の今後のポジション戦略などをお話します。,https://fortee.jp/files/iosdc-japan-2019/speaker/67bc9ca7-139f-4429-9234-bf9ea772cfca.jpg,kboy_silvergym,https://fortee.jp/iosdc-japan-2019/proposal/97c3a50e-d3d1-40dd-9b2e-984693e74d5f,,,False,,
iOSでAB Testing,kouhei takamatsu,15m,"ABTestって面倒くさいですよね
分岐によってコード量は増え、将来的には除却しなければなりません。
しかし、どのコードがABTestのコードなのか、また、それらのコードはコードベース上のどこにいるのかわかりづらい場合が多いです。
また、Firebaseを使うのか、Adobe Targetを使うのか、ABテスト基盤の変更も発生したりすると地獄が待っています。

そういう辛みと戦うために、抽象化できるところは抽象化したり、ABテストのコードはABテストのコードだとわかりやすいように管理する方法を取る必要があります。
本セッションでは、オブジェクト指向の考え方に沿って、ABテストの運用にあった実装を考えてみたいと思います。",https://fortee.jp/files/iosdc-japan-2019/speaker/c3976ae0-4987-4472-a815-afd753857d44.gif,gaopin1534,https://fortee.jp/iosdc-japan-2019/proposal/d22cdf31-dbfd-4332-aa3c-d3077ee4af4a,,,False,,
完全攻略App Notarization,Noritaka Kamiya,15m,"macOS Catalinaではアプリの動作要件にApp Notarizationが追加されました。

今使っているアプリは動かなくなってしまうのか?
App Notarizationとは何で、何のために必要なのか?
アプリ本体だけでなく、パッケージにも署名が必要な理由とは?
OSSでビルド済みバイナリを配布するには?

今後iPad Apps for Macで盛り上がる、macOSアプリ開発に向けて、App Notarizationを中心にmacOSのセキュリティモデルについて解説します。",https://fortee.jp/files/iosdc-japan-2019/speaker/7e9ba49b-3d2d-44dd-bc15-628b029ca23c.jpeg,nolili,https://fortee.jp/iosdc-japan-2019/proposal/c463ec22-de18-4487-ba74-3636b67efd26,,,False,,
iOS 13 Sampler,堤 修一,15m,iOS 13は非常に多くの新機能が発表されました。Swift UI、Combine、Sign In with Apple、ダークモードといった誰もが注目する機能「以外」にも、Sound AnalysisやCore Hapticsといった新フレームワークからCore MLやVision、AVFoundationの追加APIも含め、アプリ開発の可能性を大きく広げる多くの新機能が追加されています。本トークでは、各新機能について、実際にどういうAPIになっていて何がどこまでできるのか、ドキュメントからはわからない実性能等にも踏み込んで、デモを交えつつ解説します。,https://fortee.jp/files/iosdc-japan-2019/speaker/784bd4a1-8530-484e-a6f0-72e8ee9677f7.jpg,shu223,https://fortee.jp/iosdc-japan-2019/proposal/31079705-754a-4ad6-b89f-0226e3f09dec,,,False,,
Storyboardとprotocolを使った画面遷移の個人的ベストプラクティス,417.72KI,15m,"去年のiOSDC2018で「プロトコルでStoryboardともっと仲良くなる」というタイトルでSegueを使いこなすことについてお話させていただきましたが、
その後の開発で動的な画面制御など、Segueだけではどうしても辛い場面が出てきてしまいました。

そこで、本セッションではprotocol extensionを使ったModal View表示の抽象化を提案しつつ、画面遷移の種類によるSegueとの使い分けについて個人的なベストプラクティスを紹介します。",https://fortee.jp/files/iosdc-japan-2019/speaker/3ec83c33-0b05-4920-a512-b1199523d6ce.jpg,417_72ki,https://fortee.jp/iosdc-japan-2019/proposal/b67cb621-cc05-4c39-b095-49e191a62c45,,,False,,
日本語を話せない HomePod ちゃんとうまく付き合ういくつかのコツ,monoqlo,LT,"HomePod「ごめんなさい、わたしまだ日本語話せないの…」
ぼく「大丈夫だよ、気にしないで。ぼくたちきっとうまくやれると思う」
HomePod「でも… あなた英語全然話せないじゃない！うまくいきっこないわ…！！」
ぼく「と、とらすとみー」

このトークは、英語が堪能ではない私がアメリカで買ってきた HomePod を、
なんとか便利に使えないか奮闘する軌跡を綴ったショートストーリーです。

このトークを聞けば、きっとあなたも HomePod が欲しくなる…かもしれません。",https://fortee.jp/files/iosdc-japan-2019/speaker/ac51af72-ee48-418e-9a35-6e6de4cd3804.jpg,monoqlo,https://fortee.jp/iosdc-japan-2019/proposal/3e661b3b-f3d6-40d8-9c2f-5e7ea8888ad8,,,False,,
3DレンダリングエンジンをSwiftで自作する - Remix,堤 修一,15m,"ARやVRが盛り上がり、iPhoneではデプス撮影可能なカメラが搭載され、またiOS 13の標準UIも「奥行き」を意識させるようなものになっており、我々アプリ開発者も2Dの世界から3Dの世界へ意識を向けなければならない時代が来ようとしています。

しかしたった一次元増えただけの3Dは思いの外難しく、特に3Dレンダリングパイプラインは初心者にとって非常にハードルが高いものです。そんな中、昨年のiOSDCでの@ta_ka_tsu氏のセッション「作ってわかるレンダリングパイプライン」は、MetalやOpenGLが行っている3Dレンダリング処理を自作してみるという非常に興味深いものでした。確かに自分でつくってみるという経験は理解を一気に進めることができます。

本セッションは、原作@ta_ka_tsu氏の3Dレンダリングエンジンを自作するというコンセプトをお借りし、3Dを長らく難しいと感じてきた自身の視点から噛み砕いて再構成して、iOSエンジニアが3Dと仲良くなる入り口となるようなトークにしたいと思います。",https://fortee.jp/files/iosdc-japan-2019/speaker/784bd4a1-8530-484e-a6f0-72e8ee9677f7.jpg,shu223,https://fortee.jp/iosdc-japan-2019/proposal/2dce0d53-855b-4332-a505-9c0b96e7c5f3,,,False,,
デザイナー→Webエンジニア→iOSエンジニアと渡り歩いた僕なりのSwiftとの向き合い方と生かす戦略,酒井文也,iOS,"タイトルの通りなのですが、私のキャリアは割と複雑かつ一貫性が全くないキャリアにも見えるかもしれません。「エンジニア」になり、iOSアプリ開発という分野でのキャリアを歩んでいくことを決めた際に、「これまでの知見を捨て去るのではなく、上手に生かした戦略を見出そう」というテーマを持って今日まで幸運にもiOSアプリ開発に携わることができています。

この発表では、これまでの経験や興味・関心をベースとした切り口からどのようにSwiftひいてはiOSアプリ開発に対してのアプローチをしたか？そしてSwiftと向き合い、楽しみ方を見出したかという点についてお話できればと考えております。",https://fortee.jp/files/iosdc-japan-2019/speaker/84f53b23-5836-41dc-9bb2-3c17b18319d3.jpg,fumiyasac,https://fortee.jp/iosdc-japan-2019/proposal/1d98ab17-b7f7-43a3-ba59-a86d4c920684,,,False,,
マイクロインタラクションの効果的な活用方法について,鈴木慎吾,15m,"アプリやWebサービスを使っていると、些細だけど使いやすさに繋がっていたり、他のアプリにはない特徴となっているインタラクションに出会うことがあります。
こうしたマイクロインタラクションを有効に活用しているアプリの事例を通して、その目的やユーザーに及ぼす効果を検証します。

また自身が導入した際のモックづくりやデザイナー、エンジニア間でのコミュニケーションについてもお話しします。

本人による参考記事
https://note.mu/shingo2000/n/n51b7903c5192
https://note.mu/shingo2000/n/na55e4bf48468
https://note.mu/shingo2000/n/na0dd9ee70ea0",https://fortee.jp/files/iosdc-japan-2019/speaker/3de31361-9084-4488-bb45-7ecb5abac192.jpg,shingo2000,https://fortee.jp/iosdc-japan-2019/proposal/66698084-6bc1-4f9b-8890-026fb3990187,,,False,,
「非」音楽アプリのための音声処理,堤 修一,15m,"音声（オーディオ）データの処理といえば音楽向けのエフェクター等のような用途を想像してしまう方も多いかも知れません。しかし音声処理はもっと幅広い可能性のあるものです。たとえば動画は基本的に音声を持つので、話者を識別して特定話者のフレームだけを抽出してサイズを圧縮するといったことも可能ですし、マイクからの入力を利用して外界の状況をセンシングするのにも使えます。

iOSの音声処理系のフレームワークは、画像処理系のそれと比べて長らく大きな進化はしていませんでしたが、ここにきてついに機械学習の技術が取り入れられるようになり、多様な用途で役立つ可能性が飛躍的にアップしました。

本トークでは、「非」音楽アプリでの実用アイデアを示しつつ、それらを実現するための実装について解説します。iOSの最新の音声処理系のAPIについて習熟するとともに、あなたのアプリでの応用アイデアが浮かぶようなトークにします。",https://fortee.jp/files/iosdc-japan-2019/speaker/784bd4a1-8530-484e-a6f0-72e8ee9677f7.jpg,shu223,https://fortee.jp/iosdc-japan-2019/proposal/947c666b-58cc-41c5-b172-d901d66f4bf5,,,False,,
Memoji Stickersってどうやってアプリに組み込むの？,行木 千春,LT,"WWDC19のKeynoteで発表されたiOS 13の新機能、Memoji Stickers！
自分の顔に似せたり、メイクしたり、楽しそうですよね！

さて、技術的にはこれはどういうものなんでしょう。おや？セッションにもAPI Diffsにもそれらしい情報が見当たりません。でもキーボードには出てくるしどうしたら良いのかしら...？

本LTでは実際に動かしてみて得た知見を、キーボード入力の仕組みに触れつつ共有したいと思います。",https://fortee.jp/files/iosdc-japan-2019/speaker/452c773d-1a39-4ed7-b4cc-24ddc7fe439c.jpg,Ridwy,https://fortee.jp/iosdc-japan-2019/proposal/62b67a30-fd2d-409d-a4be-d87d6fbff6b7,,,False,,
ReactorKitのAndroid版を作った話,くぼぼ,15m,"iOSとAndroidでアーキテクチャや実装パターンが異なり、互いの実装がわからない、実装や挙動が異なるといった状況になったことはないでしょうか？
我々の開発しているアプリは、去年iOSのフルリニューアルを行いました。
その後、Androidアプリも機能ごとに段階的にリニューアルをすることになったのですが、アーキテクチャの選定に頭を悩ませていました。
そこでiOSで採用していたReactorKitのAndroid版を作成し、この問題を解決しました。
このトークでは、ReactorKitの解説や、そのAndroid版をどう実装したか、それによりもたらされた利点などについてお話しするつもりです。
iOSとAndroid双方のアーキテクチャ選定に迷っている方向けの内容です。",https://fortee.jp/files/iosdc-japan-2019/speaker/dc0050e0-72be-44ef-b488-0512844ed58c.jpg,swiz_ard,https://fortee.jp/iosdc-japan-2019/proposal/c703f293-b025-4790-98c2-2bdc34f17825,,,False,,
今こそ整理のとき！！「セミモーダル？」「ハーフモーダル？」「フローティングパネル？」,佐藤俊輔,LT_R,"Apple純正の「マップ」「株価」アプリなどのあのUI、皆さんは何と呼んでいますか？
「セミモーダル？」
「ハーフモーダル？」
「フローティングパネル？」
WWDC2019で標準UIとして公開されることも個人的には期待していましたが、そのような発表はされず、この呼び名についてはまだフワっとしたままです。

また最近では、例えばTwitterのツイートに対するアクションモーダル（とここでは呼んでみます。）のような、似たようなUIも普及してきました。

これらのようなUIをアプリに組み込もうと思ったとき、その利用用途と呼び名をチーム内で理解・共有しておかないと、コミュニケーションがとてもchaoticになってしまいます。

さらに厄介なのは、AndroidのMaterialDesignが提供しているUIも理解しておかなければならないことです。

このLTでは、これらを整理することで、より相応しいUIの選択とチーム内でのコミュニケーションに役立てればと思っています。",https://fortee.jp/files/iosdc-japan-2019/speaker/903d2e33-f864-4993-b276-1d52d1136f21.jpg,ushisantoasobu,https://fortee.jp/iosdc-japan-2019/proposal/4609715e-c73a-4591-ba41-8e41f2941da0,,,False,,
Bazelで実現するiOSアプリビルドの夢,Yutaro Muta,15m,"Bazel (https://bazel.build) は、Google主導で開発されているビルドツールのOSSです。特徴として以下が挙げられます。
- StarlarkというPythonベースの言語で書き、人間が読みやすく、理解しやすい
- ビルドが速く、キャッシュを利用したモジュールレベルの差分ビルド、テストが容易
- Linux、macOS、Windows上で動作し、サーバーサイド言語だけでなく、モバイルアプリのビルドも可能なマルチプラットフォームサポート
- 既に多くの言語がサポートされており、その他の言語やフレームワークもサポートできるようにBazelを拡張可能
Androidアプリ開発では、今年のGoogle I/Oで “Building Android Apps with Bazel” というCode Labが登場しましたが、Bazelの恩恵はiOSアプリ開発、Swift/Objective-Cでも享受することができます。
iOSではフレームワークを分割し、差分ビルドを活用する手法は一般化してきましたが、仕組みとしての理解は難しいものです。普段Xcodeで開発するだけでは、なかなかメリットを測ることができないですが、未来に覇権を握る可能性のあるツールのBazelについて、知っておくことは有用でしょう。
私自身、Bazelを触れ始めた初学者ではありますが、Bazelについて知り、興味を持つきっかけとなるトークをしたいと思います。

- Bazelとは何者なのか
    - Bazelでできること
    - Bazelのロードマップ
    - Starlark
- Bazelでビルドする
    - Swift
    - iOS
- iOSでBazelを使う上でのメリット/デメリット
- まとめ",https://fortee.jp/files/iosdc-japan-2019/speaker/d54de9ae-098b-4ade-bc92-cd7680b6a880.jpg,yutailang0119,https://fortee.jp/iosdc-japan-2019/proposal/54b3b858-721a-455e-83ef-708e3964cbd4,,,False,,
Modern Audio Programming in Swift,行木 千春,15m,"WWDC19ではCryptoKitやURLSessionWebSocketTaskが登場し、最後までCやC++のAPIとして残っていた領域のものがモダンな利用しやすい形になった印象があります。オーディオ処理についてもいくつもの古いAPIがiOS 13で非推奨となり、昔ながらのアプリはよりモダンな形への進化を迫られています。どんな対応が必要なのか？逆にパワフルになったSDKやハードウェアで何ができようになったのか？具体的なコードを交えながら話したいと思います。
音楽制作アプリ界隈を盛り上げる一助になれば幸いです！",https://fortee.jp/files/iosdc-japan-2019/speaker/452c773d-1a39-4ed7-b4cc-24ddc7fe439c.jpg,Ridwy,https://fortee.jp/iosdc-japan-2019/proposal/c399ffcd-967f-41e4-a937-7e4f12df5164,,,False,,
初心者でもわかる。 Speech / Natural Language Framework 🎤,だっちゃん,15m,"先日行われた SPAJAM 2019 の 関西予選にて「Speech Framework と Natural Language Framework」をつかったアプリを作り、優秀賞を受賞しました。

初めて使った Framework。Speech と Natural Language。

導入から実装。
そしてはまりにハマった「音声入力待ち状態」と「音声再生」。

実装ポイントや注意点をサンプルコードやデモンストレーションを交えて、初心者でも簡単に始められる `Speech Framework` と `Natural Language Framework` を紹介します。",https://fortee.jp/files/iosdc-japan-2019/speaker/4be1b3d4-3c32-4db5-8484-619be2daf107.jpg,dchn2904,https://fortee.jp/iosdc-japan-2019/proposal/c35d3534-16f4-4698-bb4d-2b54345055d9,,,False,,
